Station,,lat,lon
"Penfold Street, Marylebone",,51.522892,-0.171681
"George Place Mews, Marylebone",,51.516892,-0.158249
"Palace Gate, Kensington Gardens",,51.502042,-0.1844
"Gloucester Road Station, South Kensington",,51.494185,-0.18267
"Sun Street, Liverpool Street",,51.520009,-0.083935
"Strata, Elephant & Castle",,51.493146,-0.099828
"Edgware Road Station, Marylebone",,51.519968,-0.169774
"Rotherhithe Roundabout, Rotherhithe",,51.499169,-0.055846
"Cleaver Street, Kennington",,51.488105,-0.110121
"Chelsea Bridge, Pimlico",,51.485821,-0.149004
"Southwark Station 1, Southwark",,51.504043,-0.105312
"Southwark Station 2, Southwark",,51.504044,-0.104778
"Eaton Square (South), Belgravia",,51.494561,-0.153933
"Ebury Bridge, Pimlico",,51.490491,-0.149186
"Vincent Street, Pimlico",,51.493072,-0.129925
"Cheapside, Bank",,51.51397,-0.09294
"Exhibition Road, Knightsbridge",,51.499917,-0.174554
"South Parade, Chelsea",,51.48902,-0.17524
"Spanish Road, Clapham Junction",,51.459225,-0.180884
"Stanley Grove, Battersea",,51.470475,-0.15213
"Erin Close, Walham Green",,51.479463,-0.195777
"Cadogan Close, Victoria Park",,51.542118,-0.028941
"Felsham Road, Putney",,51.464786,-0.215618
"Putney Rail Station, Putney",,51.460717,-0.216526
"Islington Green, Angel",,51.536384,-0.102757
"Charing Cross Hospital, Hammersmith",,51.487285,-0.217995
"Charlotte Terrace, Angel",,51.536392,-0.112721
"Shoreditch Court, Haggerston",,51.539083,-0.070329
"Belford House, Haggerston",,51.536654,-0.07023
"Battersea Church Road, Battersea",,51.476964,-0.174347
"Vicarage Crescent, Battersea",,51.472876,-0.176267
"Durant Street, Bethnal Green",,51.528681,-0.06555
"St. Bride Street, Holborn",,51.515059,-0.105344
"Mexfield Road, East Putney",,51.45682,-0.202802
"Upper Richmond Road, Putney",,51.459715,-0.212145
"Snowsfields, London Bridge",,51.502153,-0.083632
"Barons Court Station, West Kensington",,51.490217,-0.215087
"Disraeli Road, Putney",,51.46161,-0.216145
"Montserrat Road , Putney",,51.463211,-0.21555
"Albert Bridge Road, Battersea Park",,51.474392,-0.163347
"Everington Street, Fulham",,51.483356,-0.216305
"Mile End Stadium, Mile End",,51.518541,-0.034903
"Hawley Crescent, Camden Town",,51.541007,-0.14326
"Stewart's Road, Wandsworth Road",,51.473116,-0.137235
"Aylward Street, Stepney",,51.51563,-0.049067
"Stainsby Road , Poplar",,51.515427,-0.023565
"Dunston Road , Haggerston",,51.536585,-0.075885
"Ada Street, Hackney Central",,51.535716,-0.060291
"Victoria Park Road, Hackney Central",,51.536424,-0.054162
"Star Road, West Kensington",,51.487244,-0.205279
"Wendon Street, Old Ford",,51.536039,-0.026262
"Finnis Street, Bethnal Green",,51.524583,-0.058631
"Stephendale Road, Sands End",,51.46822,-0.190346
"Alma Road, Wandsworth",,51.457991,-0.184806
"Walworth Square, Walworth",,51.491327,-0.096518
"Alfreda Street, Battersea Park",,51.47505,-0.150908
"Chesilton Road, Fulham",,51.475698,-0.205876
"Putney Bridge Road, East Putney",,51.461999,-0.20624
"St. Peter's Terrace, Fulham",,51.478939,-0.208485
"Bridge Avenue, Hammersmith",,51.492084,-0.229116
"Duke Street Hill, London Bridge",,51.506304,-0.087262
"Park Lane, Mayfair",,51.505426,-0.150817
"Plough Terrace, Clapham Junction",,51.462305,-0.175407
"Grant Road East, Clapham Junction",,51.464894,-0.173029
"Queensdale Road, Shepherd's Bush",,51.50659,-0.216104
"Fulham Broadway, Walham Green",,51.479932,-0.194116
"Imperial Road, Sands End",,51.475142,-0.187278
"Hortensia Road, West Brompton",,51.481765,-0.185273
"Sirdar Road, Avondale",,51.510928,-0.214594
"Freston Road, Avondale",,51.512981,-0.219486
"Blenheim Crescent, Ladbroke Grove",,51.515108,-0.208565
"Oxford Road, Putney",,51.460792,-0.212607
"Ingrave Street, Clapham Junction",,51.467454,-0.172293
"Upcerne Road, West Chelsea",,51.478169,-0.182435
"Lots Road, West Chelsea",,51.479573,-0.179038
"Ormonde Gate, Chelsea",,51.487964,-0.161765
"Hertford Road, De Beauvoir Town",,51.537277,-0.079201
"Haggerston Road, Haggerston",,51.539328,-0.074284
"Culvert Road, Battersea",,51.471095,-0.15785
"Newton Street, Covent Garden",,51.516128,-0.120909
"London Street, Paddington",,51.515117,-0.173712
"Grenfell Road, Avondale",,51.5129,-0.214762
"The Vale, Chelsea",,51.485121,-0.174971
"Prince of Wales Drive, Battersea Park",,51.475153,-0.159169
"Harcourt Terrace, West Brompton",,51.487958,-0.187404
"Broadley Terrace, Marylebone",,51.524561,-0.165668
"Humbolt Road, Fulham",,51.483217,-0.21186
"Storey's Gate, Westminster",,51.500703,-0.129698
"Mile End Park Leisure Centre, Mile End",,51.520597,-0.032566
"St. John's Road, Clapham Junction",,51.462392,-0.168292
"Ranelagh Gardens, Fulham",,51.467601,-0.206827
"Ram Street, Wandsworth",,51.457529,-0.192165
"Santos Road, Wandsworth",,51.457059,-0.200806
"Clapham Common North Side, Clapham Common",,51.461343,-0.159322
"Sandilands Road, Walham Green",,51.473611,-0.191803
"Gwendwr Road, West Kensington",,51.491026,-0.209121
"Rifle Place, Avondale",,51.509224,-0.216016
"Binfield Road, Stockwell",,51.472509,-0.122831
"Breams Buildings, Holborn",,51.515937,-0.111778
"Tanner Street, Bermondsey",,51.500647,-0.0786
"Sancroft Street, Vauxhall",,51.489479,-0.115156
"Devonshire Square, Liverpool Street",,51.516468,-0.079684
"Bayley Street , Bloomsbury",,51.518587,-0.132053
"Tavistock Place, Bloomsbury",,51.52625,-0.123509
"Harrington Square 1, Camden Town",,51.533019,-0.139174
"Walnut Tree Walk, Vauxhall",,51.493686,-0.111014
"Borough Road, Elephant & Castle",,51.498898,-0.10044
"Cloudesley Road, Angel",,51.534408,-0.109025
"Bricklayers Arms, Borough",,51.495061,-0.085814
"Aldersgate Street, Barbican",,51.520841,-0.09734
"Falkirk Street, Hoxton",,51.53095,-0.078505
"Gloucester Road (North), Kensington",,51.497924,-0.183834
"Hampstead Road, Euston",,51.525542,-0.138231
"Old Quebec Street, Marylebone",,51.514577,-0.158264
"Albert Embankment, Vauxhall",,51.490435,-0.122806
"Queen Street 1, Bank",,51.511553,-0.09294
"Jewry Street, Aldgate",,51.513406,-0.076793
"Vicarage Gate, Kensington",,51.504723,-0.192538
"Crosswall, Tower",,51.511594,-0.077121
"Westbourne Grove, Bayswater",,51.515529,-0.19024
"Woodstock Street, Mayfair",,51.514105,-0.147301
"Finsbury Leisure Centre, St. Luke's",,51.526008,-0.096317
"Abbey Orchard Street, Westminster",,51.498125,-0.132102
"Soho Square , Soho",,51.515631,-0.132328
"Wellington Road, St. John's Wood",,51.533043,-0.172528
"Park Lane , Hyde Park",,51.510017,-0.157275
"Stonecutter Street, Holborn",,51.515809,-0.10527
"Gloucester Road (Central), South Kensington",,51.496462,-0.183289
"Park Road (Baker Street), The Regent's Park",,51.524517,-0.158963
"Braham Street, Aldgate",,51.514233,-0.073537
"Little Argyll Street, West End",,51.514499,-0.141423
"Lollard Street, Vauxhall",,51.49288,-0.114934
"Rochester Row, Westminster",,51.495827,-0.135478
"Bath Street, St. Luke's",,51.525893,-0.090847
"The Guildhall, Guildhall",,51.515735,-0.09308
"Baker Street, Marylebone",,51.518913,-0.156166
"Norton Folgate, Liverpool Street",,51.521113,-0.078869
"St. John Street, Finsbury",,51.52836,-0.104724
"Eaton Square, Belgravia",,51.496544,-0.150905
"Borough High Street, The Borough",,51.500694,-0.094524
"Museum of London, Barbican",,51.517821,-0.096496
"Wood Street, Guildhall",,51.517008,-0.093885
"Emperor's Gate, South Kensington",,51.495362,-0.185296
"Golden Square, Soho",,51.511897,-0.137043
"Tower Gardens , Tower",,51.509506,-0.075459
"Eversholt Street , Camden Town",,51.533005,-0.136792
"Bethnal Green Road, Shoreditch",,51.523648,-0.074754
"Derry Street, Kensington",,51.501364,-0.191462
"Wapping High Street, Wapping",,51.504904,-0.06797
"Clerkenwell Green, Clerkenwell",,51.52326,-0.104708
"Queen Victoria Street, St. Paul's",,51.511961,-0.097441
"Green Street, Mayfair",,51.512276,-0.157436
"Lambeth Road, Vauxhall",,51.494881,-0.117974
"Finsbury Square , Moorgate",,51.520962,-0.085634
"Chapel Place, Marylebone",,51.515308,-0.147203
"West Cromwell Road, Earl's Court",,51.493724,-0.198286
"Pont Street, Knightsbridge",,51.496886,-0.161203
"Kennington Cross, Kennington",,51.48894,-0.111435
"Ilchester Place, Kensington",,51.500743,-0.202759
"Vauxhall Bridge , Pimlico",,51.488365,-0.129361
"Portugal Street, Holborn",,51.514943,-0.116146
"Tachbrook Street, Victoria",,51.492111,-0.138364
"Kennington Road Post Office, Oval",,51.484788,-0.110683
"Holy Trinity Brompton, Knightsbridge",,51.497056,-0.168917
"Chepstow Villas, Notting Hill",,51.512136,-0.201554
"Hampton Street, Walworth",,51.49217,-0.101536
"Bayswater Road, Hyde Park",,51.511933,-0.174411
"Waterloo Station 3, Waterloo",,51.503791,-0.112824
"Lexham Gardens, Kensington",,51.495866,-0.191933
"New Kent Road, The Borough",,51.494436,-0.092921
"Wright's Lane, Kensington",,51.500397,-0.193068
"Trebovir Road, Earl's Court",,51.490853,-0.19617
"Waterloo Place, St. James's",,51.506633,-0.131773
"Guildhouse Street, Victoria",,51.492345,-0.141334
"Southampton Place, Holborn",,51.517606,-0.121328
"Sloane Avenue, Knightsbridge",,51.493184,-0.167894
"Cleveland Gardens, Bayswater",,51.515607,-0.183118
"Orsett Terrace, Bayswater",,51.517932,-0.183716
"Crinan Street, King's Cross",,51.534474,-0.122203
"Exhibition Road Museums 1, South Kensington",,51.496468,-0.173796
"Wren Street, Holborn",,51.524564,-0.116279
"Kennington Station, Kennington",,51.488852,-0.105593
"Red Lion Street, Holborn",,51.51824,-0.11655
"Vauxhall Walk, Vauxhall",,51.488124,-0.120903
"Killick Street, King's Cross",,51.5338,-0.118677
"Kennington Oval, Oval",,51.483145,-0.113134
"Sail Street, Vauxhall",,51.495656,-0.114605
"Walmer Road, Avondale",,51.510101,-0.211358
"Philpot Street, Whitechapel",,51.515256,-0.058641
